#['main.py', '--data-set=mnist', '--batch-size=4096', '--lr=1e-5', '--epochs=50', '--constraint=EvenOdd(eps=0.4, delta=0.6, gamma=3.0)', '--oracle-steps=20', '--oracle-restarts=10', '--delay=10', '--logic=RC']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time,Extra0,Extra1
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0814208984375,1.0,1.0,0.0,19.545859575271606,1.0,1.0
1,2.2927423204694475,0.7758349009922573,0.782259328024728,1.0,1.0,0.11478097098214286,1.0,1.0,0.155029296875,1.0,1.0,69.13166284561157,19.234649896621704,1.0,1.0
2,2.2460731778826033,0.7783335958208356,0.785632882799421,1.0,1.0,0.24937220982142858,1.0,1.0,0.56689453125,1.0,1.0,69.0821635723114,19.039170026779175,1.0,1.0
3,2.1874848774501254,0.7812585149492536,0.7906256403241839,1.0,1.0,0.37112862723214285,0.9997035435267857,0.9995291573660714,0.6873779296875,1.0,1.0,68.14240455627441,19.161447048187256,1.0,1.0
4,2.117551939828055,0.7845784596034459,0.7965906006949288,1.0,1.0,0.45066615513392855,0.9924490792410714,0.9912806919642857,0.7236328125,0.9981689453125,0.9998779296875,68.80355405807495,19.429011583328247,0.9998779296875,1.0
5,2.0383923394339427,0.7878665242876325,0.8032238824026925,1.0,1.0,0.5193045479910714,0.9584263392857143,0.9574148995535714,0.759765625,0.9539794921875,0.9715576171875,68.81971859931946,19.498031616210938,0.9715576171875,1.0
6,1.950106484549386,0.7908879688807896,0.8107739176068988,1.0,1.0,0.5682721819196429,0.8961879185267857,0.9039829799107143,0.7716064453125,0.892333984375,0.9190673828125,69.29070687294006,19.33703875541687,0.9190673828125,1.0
7,1.8610143661499023,0.7936829839433942,0.8192449297223773,1.0,1.0,0.5959821428571429,0.8323625837053571,0.8433314732142857,0.7828369140625,0.8216552734375,0.8555908203125,68.54642415046692,19.072120666503906,0.855712890625,0.9998779296875
8,1.7620468139648438,0.7942440169198173,0.8264739853995187,1.0,1.0,0.6244070870535714,0.748046875,0.7807791573660714,0.7899169921875,0.7689208984375,0.8187255859375,68.81015992164612,19.055744409561157,0.8251953125,0.9935302734375
9,1.6650934219360352,0.7950399943760463,0.8348877089364188,1.0,1.0,0.6482456752232143,0.6827915736607143,0.7313929966517857,0.7974853515625,0.7109375,0.7828369140625,68.40432119369507,19.05120325088501,0.815673828125,0.9671630859375
10,1.5710599081856864,0.7905229840959821,0.8404421125139508,1.0,1.0,0.6639578683035714,0.610107421875,0.6757638113839286,0.8016357421875,0.6478271484375,0.7501220703125,68.83674263954163,19.183003425598145,0.8145751953125,0.935546875
11,1.4831694194248743,0.769552503313337,0.8380162375313895,0.9998764395713806,1.0001236200332642,0.6759905133928571,0.5412772042410714,0.6171351841517857,0.8082275390625,0.48779296875,0.6151123046875,68.49355673789978,19.04160761833191,0.6435546875,0.9715576171875
12,1.4390960420880998,0.622542176927839,0.771507808140346,0.9998173117637634,1.0001827478408813,0.6524832589285714,0.44485909598214285,0.41763741629464285,0.7073974609375,0.504150390625,0.140380859375,68.23250007629395,19.05314302444458,0.07373046875,1.0
13,1.4844169616699219,0.36332872935703825,0.5044084957667759,0.9999314546585083,1.0000686645507812,0.5766252790178571,0.7771519252232143,0.5464215959821429,0.65185546875,0.9910888671875,0.9046630859375,68.61503720283508,19.033096313476562,0.0,1.0
14,1.4143423352922713,0.27665976115635466,0.37610619408743723,1.000072956085205,0.9999269843101501,0.5977783203125,0.9102085658482143,0.8056117466517857,0.7386474609375,0.9945068359375,0.91162109375,68.52077198028564,19.054049015045166,0.0,1.0
15,1.3161194665091378,0.23696608202798025,0.3229109559740339,1.0002174377441406,0.9997825622558594,0.6373639787946429,0.943359375,0.8756277901785714,0.7650146484375,1.0,0.98974609375,68.1826548576355,19.03650164604187,0.0,1.0
16,1.246722902570452,0.19245241369519914,0.2602895838873727,1.000357985496521,0.9996421337127686,0.6618477957589286,0.9727783203125,0.9403599330357143,0.7835693359375,1.0,0.996337890625,69.22149920463562,19.31571364402771,0.0,1.0
17,1.1853367941720145,0.16077869279044016,0.22048648766108922,1.0004932880401611,0.9995067715644836,0.6781877790178571,0.9848109654017857,0.9623849051339286,0.7957763671875,1.0,0.999267578125,69.3567385673523,19.33417820930481,0.0,1.0
18,1.131702491215297,0.13324269226619176,0.1828228575842721,1.0006232261657715,0.9993768930435181,0.6924351283482143,0.9912458147321429,0.9778703962053571,0.8072509765625,1.0,0.9993896484375,68.708092212677,19.385798692703247,0.0,1.0
19,1.0834376471383231,0.11057800906045097,0.15590906143188477,1.000747561454773,0.9992525577545166,0.7046595982142857,0.9943498883928571,0.983154296875,0.8150634765625,1.0,0.9996337890625,68.28794550895691,19.04829454421997,0.0,1.0
20,1.0365791320800781,0.09378104550497872,0.1351273570741926,1.000866174697876,0.9991338849067688,0.7156982421875,0.9963902064732143,0.9866768973214286,0.8232421875,1.0,0.9998779296875,69.08689332008362,19.10507893562317,0.0,1.0
21,0.9954853739057269,0.07900553090231759,0.1192665866443089,1.0009796619415283,0.9990203976631165,0.7250453404017857,0.9979422433035714,0.9887869698660714,0.8297119140625,1.0,0.9996337890625,69.38042902946472,19.05466389656067,0.0,1.0
22,0.9597141402108329,0.06794600401605878,0.1065805469240461,1.0010889768600464,0.9989110231399536,0.7348284040178571,0.9983782087053571,0.9901297433035714,0.8367919921875,1.0,0.999755859375,69.16776585578918,19.33475923538208,0.0,1.0
23,0.9243364334106445,0.05867752007075718,0.09589842387608119,1.0011944770812988,0.9988056421279907,0.7457798549107143,0.9989188058035714,0.9909319196428571,0.8448486328125,1.0,0.999755859375,69.38254427909851,19.443783044815063,0.0,1.0
24,0.9001192365373883,0.05157202056476048,0.08875319787434169,1.0012966394424438,0.9987033009529114,0.7502964564732143,0.9990408761160714,0.9913853236607143,0.8511962890625,1.0,0.9998779296875,68.84714913368225,19.468014001846313,0.0,1.0
25,0.8678216934204102,0.045522596154894145,0.08258881739207677,1.0013960599899292,0.9986040592193604,0.7588239397321429,0.9990583147321429,0.9915597098214286,0.8563232421875,1.0,1.0,69.03142833709717,19.033074378967285,0.0,1.0
26,0.8371631077357701,0.039495340415409634,0.07545429468154907,1.0014928579330444,0.9985071420669556,0.7690778459821429,0.9991978236607143,0.9918561662946429,0.8612060546875,1.0,0.999755859375,69.37245655059814,19.322864055633545,0.0,1.0
27,0.8186928885323661,0.035171836614608765,0.07204604148864746,1.0015875101089478,0.9984124302864075,0.7734723772321429,0.9994245256696429,0.9910714285714286,0.8642578125,1.0,0.9996337890625,68.43620872497559,19.048813819885254,0.0,1.0
28,0.7928234509059361,0.031380604420389445,0.06848135590553284,1.0016803741455078,0.9983196258544922,0.7803083147321429,0.9994768415178571,0.9908272879464286,0.8671875,1.0,0.9996337890625,69.2630603313446,19.168118000030518,0.0,1.0
29,0.7756210054670062,0.027883640357426236,0.06385059441838946,1.0017719268798828,0.998228132724762,0.7818254743303571,0.9997384207589286,0.991455078125,0.872314453125,1.0,0.9996337890625,68.49687623977661,19.240609645843506,0.0,1.0
30,0.754472187587193,0.024666185889925276,0.05951602118355887,1.0018614530563354,0.9981386661529541,0.7886090959821429,0.9996686662946429,0.9916120256696429,0.87548828125,1.0,0.99951171875,68.97684097290039,19.38176965713501,0.0,1.0
31,0.7343450954982212,0.022561628903661455,0.05714310918535505,1.0019489526748657,0.9980511665344238,0.7960902622767857,0.9996512276785714,0.9915248325892857,0.8782958984375,1.0,0.9993896484375,69.4323902130127,19.45780086517334,0.0,1.0
32,0.7213531902858189,0.019895640867097036,0.052578049046652656,1.002034306526184,0.9979657530784607,0.8000313895089286,0.9997035435267857,0.9923444475446429,0.882080078125,1.0,0.9989013671875,68.34366393089294,19.035458087921143,0.0,1.0
33,0.6986690929957798,0.01806302155767168,0.051281205245426724,1.0021193027496338,0.9978806972503662,0.8052280970982143,0.9997209821428571,0.9916817801339286,0.883544921875,1.0,0.999267578125,69.06492638587952,19.06132745742798,0.0,1.0
34,0.684485844203404,0.01638660899230412,0.04799050944192069,1.0022028684616089,0.9977971911430359,0.8078962053571429,0.9997732979910714,0.9922223772321429,0.886474609375,1.0,0.9990234375,68.26035737991333,19.168710708618164,0.0,1.0
35,0.6686099597385952,0.014645012361662728,0.04463696479797363,1.0022839307785034,0.9977160096168518,0.8116803850446429,0.9997907366071429,0.9932861328125,0.888427734375,1.0,0.9996337890625,69.39374256134033,19.295464992523193,0.0,1.0
36,0.6584021023341587,0.01344052595751626,0.04385268262454441,1.0023633241653442,0.997636616230011,0.8167550223214286,0.9997209821428571,0.9920828683035714,0.8907470703125,1.0,0.99951171875,69.23407006263733,18.99579405784607,0.0,1.0
37,0.6472253118242536,0.012336138103689467,0.04207823957715716,1.0024429559707642,0.9975569844245911,0.8175048828125,0.9998779296875,0.9919259207589286,0.8929443359375,1.0,0.9990234375,69.10249304771423,19.439321994781494,0.0,1.0
38,0.6326781000409808,0.011276784752096449,0.040651679039001465,1.0025224685668945,0.9974774718284607,0.82275390625,0.9998430524553571,0.9928152901785714,0.89404296875,1.0,0.999267578125,68.49780225753784,19.03319239616394,0.0,1.0
39,0.6252868516104562,0.010092866207872118,0.037836040769304545,1.002600073814392,0.9973998665809631,0.8229457310267857,0.9998953683035714,0.9928676060267857,0.896728515625,1.0,0.999267578125,68.25503969192505,18.996323347091675,0.0,1.0
40,0.6112494468688965,0.00956234016588756,0.03630696875708444,1.002677083015442,0.9973229169845581,0.8271658761160714,0.9998604910714286,0.9936697823660714,0.89794921875,1.0,0.9990234375,69.501384973526,19.2608482837677,0.0,1.0
41,0.5982866968427386,0.008780682193381446,0.0351985011781965,1.0027527809143066,0.9972473382949829,0.83203125,0.9996861049107143,0.9932861328125,0.9010009765625,1.0,0.99951171875,69.11900615692139,19.174803256988525,0.0,1.0
42,0.5913879530770438,0.007874725120408195,0.03410959243774414,1.0028274059295654,0.9971725940704346,0.8354666573660714,0.9999128069196429,0.9930943080357143,0.9019775390625,1.0,0.9986572265625,68.73254632949829,19.28729820251465,0.0,1.0
43,0.5841096469334194,0.00736548804811069,0.031431847384997776,1.0029014348983765,0.9970985651016235,0.8344029017857143,0.9998604910714286,0.9938267299107143,0.902587890625,1.0,0.99951171875,69.32191038131714,19.271605253219604,0.0,1.0
44,0.5703686305454799,0.006851153182131904,0.031098527567727224,1.0029757022857666,0.9970242381095886,0.8389195033482143,0.9998779296875,0.9936349051339286,0.904052734375,1.0,0.9991455078125,68.71721696853638,19.007153272628784,0.0,1.0
45,0.5628597736358643,0.006335262741361346,0.029419011303356717,1.003049373626709,0.996950626373291,0.8401227678571429,0.9998430524553571,0.9940534319196429,0.9053955078125,1.0,0.9989013671875,68.30823850631714,19.387611627578735,0.0,1.0
46,0.5564869471958706,0.005945804928030286,0.02920112226690565,1.003122091293335,0.9968780279159546,0.8432791573660714,0.9998953683035714,0.9938441685267857,0.9058837890625,1.0,0.999267578125,69.05982708930969,19.089723348617554,0.0,1.0
47,0.5470102855137416,0.00545980195913996,0.027278874601636614,1.0031946897506714,0.9968052506446838,0.8438720703125,0.9998081752232143,0.9943324497767857,0.907470703125,1.0,0.99853515625,69.09056568145752,19.002673625946045,0.0,1.0
48,0.5415583338056292,0.005249028227158955,0.027990077223096575,1.0032674074172974,0.9967325329780579,0.8459647042410714,0.9998604910714286,0.9944370814732143,0.908447265625,1.0,0.9993896484375,69.04179191589355,19.336845636367798,0.0,1.0
49,0.5312705380575997,0.004851026726620538,0.0260975786617824,1.0033396482467651,0.9966603517532349,0.8499407087053571,0.9998430524553571,0.9946812220982143,0.9093017578125,1.0,0.9993896484375,69.22476243972778,19.251214265823364,0.0,1.0
50,0.5272837366376605,0.004473513790539333,0.026036647813660756,1.0034116506576538,0.9965882897377014,0.8509521484375,0.9998779296875,0.9936349051339286,0.9110107421875,1.0,0.9993896484375,69.14450097084045,19.083540201187134,0.0001220703125,1.0