#['main.py', '--data-set=gtsrb', '--batch-size=4096', '--lr=1e-3', '--epochs=50', '--constraint=Groups(eps=16/255, delta=0.02)', '--oracle-steps=30', '--oracle-restarts=10', '--logic=GD']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0380859375,0.0,0.0,0.0,122.56962728500366
1,3.5273329416910806,0.7083465258280436,0.7090869744618734,0.9956198930740356,1.0043801069259644,0.0894775390625,0.0010986328125,0.0014241536458333333,0.166259765625,0.0,0.0,125.5844395160675,121.9683563709259
2,3.0712963740030923,0.6617801189422607,0.6681222120920817,0.9897085428237915,1.0102914571762085,0.184814453125,0.020222981770833332,0.0146484375,0.2779947916666667,0.0380859375,0.020589192708333332,125.4017641544342,122.11598110198975
3,2.638399124145508,0.6243951320648193,0.6456724802652994,0.9835067391395569,1.0164932012557983,0.272705078125,0.040690104166666664,0.02685546875,0.4322916666666667,0.16512044270833334,0.086181640625,125.07268166542053,121.31422281265259
4,2.211618264516195,0.5150025685628256,0.5792901515960693,0.977472186088562,1.022527813911438,0.3596598307291667,0.12052408854166667,0.06599934895833333,0.5633951822916666,0.4209798177083333,0.178466796875,125.21350717544556,122.05567407608032
5,1.8458229700724285,0.37658846378326416,0.5010428031285604,0.9743417501449585,1.025658369064331,0.44287109375,0.2548421223958333,0.1214599609375,0.635009765625,0.6735026041666666,0.293701171875,125.52307629585266,122.18512630462646
6,1.566359519958496,0.27064599593480426,0.43512988090515137,0.9744403958320618,1.0255595445632935,0.5113525390625,0.4192301432291667,0.20296223958333334,0.7188313802083334,0.7975260416666666,0.39697265625,124.68859672546387,121.21072745323181
7,1.305219252904256,0.19744873046875,0.3787446816762288,0.9744331240653992,1.0255670547485352,0.5797932942708334,0.5625,0.2890218098958333,0.7776692708333334,0.8455403645833334,0.4725748697916667,125.88294005393982,121.94569444656372
8,1.0799026489257812,0.15669254461924234,0.33231566349665326,0.9715441465377808,1.0284558534622192,0.6502685546875,0.6544596354166666,0.3675944010416667,0.8234049479166666,0.877685546875,0.5487467447916666,124.66449475288391,121.1692271232605
9,0.8972482681274414,0.12499965230623881,0.28153443336486816,0.9685410857200623,1.0314589738845825,0.707763671875,0.7242431640625,0.4534098307291667,0.8548177083333334,0.9064127604166666,0.6116536458333334,124.80889225006104,121.41353273391724
10,0.7487632433573405,0.1037248969078064,0.24509108066558838,0.9668548703193665,1.0331451892852783,0.7532958984375,0.769287109375,0.5219319661458334,0.8922526041666666,0.913818359375,0.6520182291666666,125.36353373527527,121.21563625335693
11,0.6291907628377279,0.09104726711908977,0.216075599193573,0.9647154211997986,1.0352845191955566,0.7975667317708334,0.8008626302083334,0.572265625,0.8968098958333334,0.930419921875,0.6869303385416666,124.8824872970581,121.0460262298584
12,0.5506417751312256,0.078115979830424,0.19228136539459229,0.9635239243507385,1.0364761352539062,0.8218994140625,0.8296712239583334,0.6166585286458334,0.922119140625,0.9440104166666666,0.74072265625,125.48074340820312,121.04885482788086
13,0.4722021818161011,0.0701478620370229,0.17933239539464316,0.9620501399040222,1.0379499197006226,0.8481852213541666,0.84716796875,0.6423746744791666,0.93212890625,0.9523111979166666,0.738037109375,124.81272983551025,121.23090147972107
14,0.4091568390528361,0.06463107963403066,0.16761656602223715,0.9582056403160095,1.0417944192886353,0.8722330729166666,0.8577473958333334,0.6636555989583334,0.9330240885416666,0.9525553385416666,0.763427734375,124.76725792884827,121.10340476036072
15,0.37541250387827557,0.057528321941693626,0.1433047354221344,0.9553574919700623,1.0446425676345825,0.8807373046875,0.8759765625,0.712158203125,0.939208984375,0.9566243489583334,0.7921549479166666,124.7356231212616,121.8644027709961
16,0.3383982578913371,0.0526756097873052,0.13270342350006104,0.9537895917892456,1.0462104082107544,0.8913167317708334,0.8864339192708334,0.7313639322916666,0.9466145833333334,0.96826171875,0.8025716145833334,126.11984968185425,122.13365054130554
17,0.30550889174143475,0.04696250458558401,0.11870486537615459,0.9535906910896301,1.046409249305725,0.9031982421875,0.8992513020833334,0.759765625,0.9541829427083334,0.9667154947916666,0.823974609375,125.03612995147705,121.15277242660522
18,0.2835574944814046,0.04474341869354248,0.11616523067156474,0.9539715051651001,1.0460284948349,0.9110921223958334,0.9036458333333334,0.7662760416666666,0.9525553385416666,0.97021484375,0.8294270833333334,125.19237041473389,122.11530804634094
19,0.2559182643890381,0.04379709561665853,0.11270949244499207,0.9541791081428528,1.045820951461792,0.921630859375,0.9053548177083334,0.7732340494791666,0.9453938802083334,0.9706217447916666,0.8284505208333334,125.77952218055725,121.40247964859009
20,0.2529698610305786,0.04094542314608892,0.10764563083648682,0.9542917013168335,1.0457082986831665,0.9200439453125,0.9106038411458334,0.7812906901041666,0.958984375,0.9750162760416666,0.8521321614583334,124.74749517440796,120.99814796447754
21,0.23480749130249023,0.038640168805917106,0.09832476576169331,0.9543523192405701,1.0456477403640747,0.9266764322916666,0.9171956380208334,0.7996826171875,0.961669921875,0.9734700520833334,0.855224609375,124.71644139289856,121.20901131629944
22,0.22261196374893188,0.03730411330858866,0.09453822175661723,0.9543846249580383,1.0456154346466064,0.9318033854166666,0.919677734375,0.808837890625,0.9576009114583334,0.9777018229166666,0.84912109375,125.66571092605591,121.13551545143127
23,0.20700528224309286,0.037456502517064415,0.09169803063074748,0.9544011950492859,1.0455987453460693,0.9352213541666666,0.9210611979166666,0.8128662109375,0.96337890625,0.97216796875,0.8505045572916666,125.72882270812988,122.12108135223389
24,0.19510996341705322,0.035131710271040596,0.0889560878276825,0.9537715911865234,1.0462284088134766,0.9388020833333334,0.9255777994791666,0.8192952473958334,0.96435546875,0.9765625,0.8667805989583334,124.97705459594727,121.0947060585022
25,0.18868128458658853,0.03427172700564066,0.08256561557451884,0.952958345413208,1.0470415353775024,0.9425048828125,0.927001953125,0.831787109375,0.969482421875,0.9803059895833334,0.88330078125,124.73693418502808,121.12155556678772
26,0.18725879987080893,0.03316460301478704,0.08076384663581848,0.952515721321106,1.047484278678894,0.9439290364583334,0.9292399088541666,0.8363444010416666,0.9715169270833334,0.98095703125,0.8865559895833334,124.70756578445435,121.0379273891449
27,0.17442949612935385,0.030391936500867207,0.07614272832870483,0.9522746801376343,1.0477252006530762,0.9462076822916666,0.93505859375,0.8458658854166666,0.9707845052083334,0.9815266927083334,0.8924153645833334,124.77461981773376,121.26578187942505
28,0.16392733653386435,0.03192732483148575,0.07413485149542491,0.952143132686615,1.0478568077087402,0.9490152994791666,0.9324951171875,0.8474934895833334,0.9702962239583334,0.982421875,0.89404296875,125.71586537361145,121.0116913318634
29,0.16465701659520468,0.029351574679215748,0.07788980007171631,0.9514836072921753,1.0485162734985352,0.9506022135416666,0.9381917317708334,0.8401285807291666,0.9712727864583334,0.9822591145833334,0.8870442708333334,124.70432305335999,121.07960891723633
30,0.15881641705830893,0.02792869508266449,0.06998473405838013,0.9506934881210327,1.0493066310882568,0.9512532552083334,0.9408365885416666,0.8575846354166666,0.97119140625,0.9806315104166666,0.8890787760416666,124.92811036109924,121.09562468528748
31,0.1442063848177592,0.02598114311695099,0.06583022077878316,0.9502648115158081,1.049735188484192,0.9563395182291666,0.9436848958333334,0.8660481770833334,0.9718424479166666,0.981201171875,0.8912760416666666,124.71095108985901,121.03990077972412
32,0.146427591641744,0.02765323470036189,0.06988986829916637,0.9500318765640259,1.0499681234359741,0.9561360677083334,0.940673828125,0.8583984375,0.9700520833333334,0.9833170572916666,0.896484375,124.70933842658997,121.12430477142334
33,0.137510746717453,0.024942790468533833,0.06358728309472401,0.9499047994613647,1.0500952005386353,0.9579264322916666,0.9457194010416666,0.8700764973958334,0.9711100260416666,0.9845377604166666,0.900634765625,124.71333599090576,121.21269130706787
34,0.13431581854820251,0.024904899299144745,0.06444142758846283,0.9498350620269775,1.0501649379730225,0.9594319661458334,0.9463704427083334,0.8673909505208334,0.9779459635416666,0.9837239583333334,0.8995768229166666,126.77601957321167,123.34162330627441
35,0.13087710738182068,0.024851145843664806,0.063559095064799,0.9488826990127563,1.051117181777954,0.9605305989583334,0.9462890625,0.8705240885416666,0.9718424479166666,0.9834798177083334,0.901123046875,126.37065362930298,122.1369080543518
36,0.12467012802759807,0.025815377632776897,0.06060368319352468,0.9482342004776001,1.0517657995224,0.9638264973958334,0.946533203125,0.8765462239583334,0.9724934895833334,0.9817708333333334,0.9093424479166666,125.84490180015564,122.67604112625122
37,0.12332780162493388,0.023356489837169647,0.05530211329460144,0.9487290382385254,1.0512709617614746,0.9622802734375,0.9507649739583334,0.8840738932291666,0.9761555989583334,0.9837239583333334,0.914794921875,124.95558738708496,121.76691484451294
38,0.11993516484896342,0.02278477946917216,0.05798677603403727,0.9496164917945862,1.050383448600769,0.9615885416666666,0.9520670572916666,0.8819580078125,0.9723307291666666,0.9829915364583334,0.9171549479166666,126.07461261749268,121.47487807273865
39,0.12667202949523926,0.023499431709448498,0.05538066724936167,0.9500942230224609,1.0499058961868286,0.9618326822916666,0.9496256510416666,0.8868815104166666,0.9733072916666666,0.9850260416666666,0.92138671875,125.48943376541138,121.19827628135681
40,0.11749611298243205,0.022328977783521015,0.053886095682779946,0.9503505229949951,1.0496494770050049,0.9651692708333334,0.9528401692708334,0.8898518880208334,0.978759765625,0.9883626302083334,0.9195963541666666,125.03824472427368,121.57636952400208
41,0.120184193054835,0.022810228168964386,0.05200060208638509,0.9517989754676819,1.0482009649276733,0.9641520182291666,0.9527587890625,0.8940836588541666,0.9791666666666666,0.9867350260416666,0.928955078125,125.99048042297363,121.22402501106262
42,0.12351608276367188,0.021615688999493916,0.049634541074434914,0.9539846777915955,1.0460153818130493,0.9611409505208334,0.9534505208333334,0.8970540364583334,0.9746907552083334,0.987060546875,0.9269205729166666,125.42471170425415,121.07495474815369
43,0.11326981584231059,0.021565971275170643,0.05209400753180186,0.9551613926887512,1.0448386669158936,0.965087890625,0.954833984375,0.893310546875,0.97412109375,0.983642578125,0.9217122395833334,126.22577786445618,122.73869752883911
44,0.1059826413790385,0.020339984446763992,0.04884962737560272,0.9547105431556702,1.0452895164489746,0.9678548177083334,0.9571126302083334,0.8990885416666666,0.9796549479166666,0.9871419270833334,0.9287923177083334,125.73739218711853,122.53861427307129
45,0.10080759723981221,0.018602021038532257,0.049478759368260704,0.9515953660011292,1.0484046936035156,0.9697265625,0.9597981770833334,0.8988850911458334,0.97705078125,0.9886881510416666,0.9296061197916666,125.4566376209259,120.94338393211365
46,0.10170355439186096,0.02002301812171936,0.049540420373280845,0.94964998960495,1.0503500699996948,0.9693196614583334,0.9573160807291666,0.898681640625,0.9796549479166666,0.98779296875,0.92431640625,124.62966704368591,121.02035808563232
47,0.09529777367909749,0.02017529432972272,0.05137442549069723,0.9473211765289307,1.0526787042617798,0.9708251953125,0.9573160807291666,0.8946126302083334,0.978515625,0.98486328125,0.919189453125,125.76248025894165,121.10118126869202
48,0.0974679986635844,0.01874848206837972,0.04769780238469442,0.9456068873405457,1.0543931722640991,0.9712320963541666,0.9608968098958334,0.9034423828125,0.983154296875,0.988525390625,0.935791015625,124.79745078086853,122.13003897666931
49,0.0946349302927653,0.01811127116282781,0.04396018385887146,0.9452646970748901,1.0547351837158203,0.9711100260416666,0.9624837239583334,0.91015625,0.9808756510416666,0.98876953125,0.9314778645833334,125.12087917327881,120.52345848083496
50,0.0895948310693105,0.018292222172021866,0.04608429968357086,0.9452913403511047,1.0547086000442505,0.9734293619791666,0.9613037109375,0.9053548177083334,0.981689453125,0.98828125,0.928466796875,124.51676559448242,121.99482583999634